No,Lab Code,Lab Name,Report,Measured_RBC,Measured_WBC,Measured_PLT,Measured_Hb,Measured_Hct,Measured_MCV,Measured_MCH,Measured_MCHC,,Reference_RBC,Reference_WBC,Reference_PLT,Reference_Hb,Reference_Hct,Reference_MCV,Reference_MCH,Reference_MCHC,,Brand_Code,Brand_Name,Model_Code,Model_Description,Brand_Custom,Model_Custom,Model_Name,Submission_Date,Suggestion,Remarks,Defect_Note,Status,Status_Recheck,Labcode_HM,Type
0007,00007,บริษัท เดอะโลตัส แอซเซอร์ เซ็นเตอร์ ฟอร์ เมดิคอล จำกัด,R,2.30,2.27,61,5.4,17.7,77.0,23.5,30.5,,5.43,23.84,512,15.3,48.8,89.9,28.2,31.4,,(600) Mindray,600,606,"(606) BC 700, 720, 760, 780",,,BC760,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1919/HM 1962,NGPH
0009,00009,โรงพยาบาลยันฮี (เครื่อง2),R,2.28,2.20,60,5.4,17.4,76.4,23.6,32.1,,5.27,22.01,531,15.4,46.4,88.0,29.3,33.2,,(600) Mindray,600,602,"(602) BC 5180, 5300, 5300VET, 5380",,,BC5180,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 901,NGPH
0011,00011,บริษัท ศูนย์แพทย์อาชีวเวชศาสตร์กรุงเทพ จำกัด,R,2.30,1.82,41,5.5,18.5,80.2,23.8,29.7,,5.29,18.52,500,15.4,48.2,91.1,29.1,32.0,,(600) Mindray,600,604,"(604) BC 6000, 6200, 6800, 6800 Plus, BC-75R  vet",,,BC6000,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 888,NGPH
0021,00021,โรงพยาบาลพรหมพิราม,R,2.29,3.07,57,5.5,18.2,79.7,23.7,30.0,,5.31,18.12,525,15.2,48.2,90.8,28.6,31.6,,(600) Mindray,600,604,"(604) BC 6000, 6200, 6800, 6800 Plus, BC-75R  vet",,,BC 6200,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,มีไฟล์แนบของ ศวก.6 เข้ามาด้วย,HM 494,PHCH
0024,00024,บริษัท กรุงเทพ พยาธิ-แลป จำกัด,R,2.28,2.18,60,5.4,17.8,77.9,23.7,30.5,,5.22,21.98,528,15.5,46.5,89.3,29.1,32.6,,(600) Mindray,600,602,"(602) BC 5180, 5300, 5300VET, 5380",,,BC5180,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 836,NGPH
0027,00027,คลินิกเทคนิคการแพทย์ เอ็น เอ บี,R,2.29,2.10,68,5.4,17.3,75.9,23.6,31.1,,5.22,21.55,510,15.4,45.7,87.4,29.5,33.8,,(600) Mindray,600,602,"(602) BC 5180, 5300, 5300VET, 5380",,,BC5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,มีไฟล์แนบของ ศวก.2 เข้ามาด้วย,HM 1889,NGPH
0029,00029,โรงพยาบาลแหลมงอบ,R,2.25,2.14,87,5.3,23.3,103.6,23.7,22.8,,5.35,21.90,530,15.6,48.0,89.7,29.1,32.5,,(600) Mindray,600,602,"(602) BC 5180, 5300, 5300VET, 5380",,,BC-5380,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 201,PHCH
0031,00031,โรงพยาบาลชะอวด,R,2.28,2.07,62,5.3,17.2,75.8,23.4,30.9,,5.14,21.93,515,15.0,44.8,87.2,29.2,33.5,,(600) Mindray,600,602,"(602) BC 5180, 5300, 5300VET, 5380",,,BC5180,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 592,PHCH
0034,00034,โรงพยาบาลตรอน,R,2.33,1.70,65,5.5,17.7,76.0,23.6,31.1,,5.35,0.70,537,15.5,46.8,88.0,29.0,33.1,,(600) Mindray,600,606,"(606) BC 700, 720, 760, 780",,,BC760,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1226,PHCH
0035,00035,โรงพยาบาลหนองจิก,R,2.31,1.84,42,5.5,18.5,79.9,23.9,29.7,,5.21,18.38,496,15.3,46.4,89.0,29.4,33.0,,(600) Mindray,600,604,"(604) BC 6000, 6200, 6800, 6800 Plus, BC-75R  vet",,,BC 6200,17 กันยายน 2568,Slide ที่ให้มามี Examination area สั้นและเฉียง รวมทั้งรอบนี้มีปริมาณ WBC ต่ำทำให้ดูยากและพบ Smudge cell จำนวนมาก ตรวจ WBC differential ได้ไม่ดี,,,ส่งผลสมบูรณ์,,HM 670,PHCH
