No,Lab Code,Lab Name,Report,Measured_RBC,Measured_WBC,Measured_PLT,Measured_Hb,Measured_Hct,Measured_MCV,Measured_MCH,Measured_MCHC,,Reference_RBC,Reference_WBC,Reference_PLT,Reference_Hb,Reference_Hct,Reference_MCV,Reference_MCH,Reference_MCHC,,Brand_Code,Brand_Name,Model_Code,Model_Description,Brand_Custom,Model_Custom,Model_Name,Submission_Date,Suggestion,Remarks,Defect_Note,Status,Status_Recheck,Labcode_HM,Type
161,00161,โรงพยาบาลดารารัศมี,R,2.31,2.08,108,5.4,17,73.6,24.1,23.3,,,,,,,,,,,(600) Mindray,,603,,,,BC5600,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 717,GNPH
302,00302,โรงพยาบาลบางคล้า,R,2.32,1.97,70,5.4,18.6,80,23.3,29,,,,,,,,,,,(600) Mindray,,603,,,,BC 5600,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 188,PHCH
627,00628,โรงพยาบาลนาด้วง,R,2.33,2.05,69,5.7,18.1,77.5,24.5,31.5,,,,,,,,,,,(600) Mindray,,603,,,,BC5600,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1077,PHCH
701,00702,โรงพยาบาลมนารมย์,R,2.38,2.25,62,5.8,18.7,78.5,24.4,31,,,,,,,,,,,(600) Mindray,,603,,,,BC5600,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1429,NGPH
705,00706,โรงพยาบาลสันติสุข,R,2.25,2.22,71,5.5,18.1,77.1,23.4,30.4,,,,,,,,,,,(600) Mindray,,603,,,,BC5600,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 524,PHCH
706,00707,โรงพยาบาลแม่จริม,R,2.47,2.13,111,5.6,25.1,101.6,22.7,22.3,,,,,,,,,,,(600) Mindray,,603,,,,BC5600,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 520,PHCH
707,00708,โรงพยาบาลบ่อเกลือ,R,2.37,2.15,118,5.5,22,92.9,23.2,25,,,,,,,,,,,(600) Mindray,,603,,,,BC 5600,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 525,PHCH
710,00711,บริษัท อินโนเทค ลาบอราทอรี่ เซอร์วิส จำกัด,R,2.47,2.5,68,5.8,19,76.9,23.5,30.5,,,,,,,,,,,(600) Mindray,,603,,,,5600,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1874,NGPH
712,00713,ดีวายเอ็มเฮลท์เชคอัพคลินิก,R,2.38,2.03,65,5.7,18.7,78.5,23.9,30.5,,,,,,,,,,,(600) Mindray,,603,,,,BC5600,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1984,NGPH
727,00728,โรงพยาบาลอินเตอร์กำแพงแสน,R,2.35,2.14,70,5.5,18.8,80.2,23.4,29.3,,,,,,,,,,,(600) Mindray,,603,,,,BC 5600,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,ไฟล์แนบ HM368,HM 1936,NGPH
741,00742,โรงพยาบาลภูหลวง,R,2.34,2.06,64,5.6,18.2,77.7,23.9,30.8,,,,,,,,,,,(600) Mindray,,603,,,,BC-56000,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 965,PHCH
783,00785,โรงพยาบาลลำลูกกา,R,2.22,,38,5.4,18,81,24.3,30,,,,,,,,,,,(600) Mindray,,603,,,,BC5600,17 กันยายน 2568,,,WBC หาค่าไม่ได้,ส่งผลสมบูรณ์,,HM 130,PHCH
1039,01043,บริษัท เอสพี แลบบอราทอรี่ จำกัด,R,2.29,2.09,73,5.3,15.9,69.4,23.1,33.3,,,,,,,,,,,(600) Mindray,,603,,,,Mindray BC 5600,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1997,NGPH
1053,01057,โรงพยาบาลศรีณรงค์,R,2.42,1.41,114,5.7,23.2,95.8,23.6,24.6,,,,,,,,,,,(600) Mindray,,603,,,,BC5800,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,ไฟล์แนบ HM368,HM 1458,PHCH
