Unnamed: 0,Unnamed: 1,503_168_M,2.19,Unnamed: 4,Unnamed: 5,Unnamed: 6,1.33,Unnamed: 8,Unnamed: 9,Unnamed: 10,63,Unnamed: 12,Unnamed: 13,Unnamed: 14,5.4,Unnamed: 16,Unnamed: 17,Unnamed: 18,17,Unnamed: 20,Unnamed: 21,Unnamed: 22,75.4,Unnamed: 24,Unnamed: 25,Unnamed: 26,24.6,Unnamed: 28,Unnamed: 29,Unnamed: 30,31.8,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,5.14,Unnamed: 37,Unnamed: 38,Unnamed: 39,18.86,Unnamed: 41,Unnamed: 42,Unnamed: 43,575,Unnamed: 45,Unnamed: 46,Unnamed: 47,15.4,Unnamed: 49,Unnamed: 50,Unnamed: 51,46,Unnamed: 53,Unnamed: 54,Unnamed: 55,87.9,Unnamed: 57,Unnamed: 58,Unnamed: 59,30,Unnamed: 61,Unnamed: 62,Unnamed: 63,33.4,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
,,503_168_M,0.04,,,,0.3,,,,8,,,,0.1,,,,1.6,,,,3.1,,,,0.4,,,,2.7,,,,,0.32,,,,0.69,,,,16,,,,0.2,,,,1.1,,,,4.5,,,,1.9,,,,0.8,,,,,,,,,,,,,,,,,
No.168 รายงานผล,Lab Code,รายงานผล,RBC,,,,WBC,,,,PLT,,,,Hb,,,,Hct,,,,MCV,,,,MCH,,,,MCHC,,,,,RBC,,,,WBC,,,,PLT,,,,Hb,,,,Hct,,,,MCV,,,,MCH,,,,MCHC,,,,,Brand_N,Brand_N,B_M_No,3.1.2 รุ่น (Model) หากไม่มีชื่อในรายการ กรุณาเลือกอื่นๆ,โปรดระบุชื่อเครื่องมือ (Brand) หากไม่มีชื่อในรายการ,โปรดระบุชื่อรุ่น (Model) หากไม่มีชื่อในรายการ,3.1.3 ชื่อรุ่น (Model),วันที่ส่งวัตถุทดสอบ,ข้อเสนอแนะ,หมายเหตุ,หมายเหตุ แจ้งวัตถุทดสอบเสีย,Labcode_HM เดิม,Type
,,,1,-29.8,29.8,Serious problem,2,2.2,2.2,Unsatisfactory,3,-7.5,7.5,Serious problem,4,-14,14,Serious problem,5,-7.5,7.5,Serious problem,6,-22.4,22.4,Serious problem,7,-44,44,Serious problem,8,-8.8,8.8,Serious problem,,9,12.1,12.1,Serious problem,10,-12.8,12.8,Serious problem,11,-35.3,35.3,Serious problem,12,-17.0,17,Serious problem,13,-30.0,30,Serious problem,14,-16.4,16.4,Serious problem,15,-7.9,7.9,Serious problem,16,-21.8,21.8,Serious problem,,,,,,,,,,,,,,
2,00002,R,2.17,-0.5,0.5,Excellent,1.43,0.3,0.3,Excellent,53,-1.3,1.3,Satisfactory,5.4,0,0,Excellent,16.4,-0.4,0.4,Excellent,75.6,0.1,0.1,Excellent,24.9,0.7,0.7,Good,32.9,0.4,0.4,Excellent,,4.34,-2.5,2.5,Unsatisfactory,8.6,-14.9,14.9,Serious problem,568,-0.4,0.4,Excellent,15.2,-1.0,1,Good,45.2,-0.7,0.7,Good,104.1,3.6,3.6,Serious problem,35,2.6,2.6,Unsatisfactory,33.6,0.3,0.3,Excellent,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",XN-1000,,XN1000,21 พฤษภาคม 2568,,,,HM 1364,NGPH
6,00006,R,2.19,0,0,Excellent,1.42,0.3,0.3,Excellent,56,-0.9,0.9,Good,5.4,0,0,Excellent,16.5,-0.3,0.3,Excellent,75.3,0,0,Excellent,24.7,0.2,0.2,Excellent,32.7,0.3,0.3,Excellent,,4.29,-2.7,2.7,Unsatisfactory,17.33,-2.2,2.2,Unsatisfactory,574,-0.1,0.1,Excellent,15.3,-0.5,0.5,Excellent,45.2,-0.7,0.7,Good,105.4,3.9,3.9,Serious problem,35.7,3.0,3,Unsatisfactory,33.8,0.5,0.5,Excellent,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 32,DH
9,00009,R,2.18,-0.2,0.2,Excellent,1.43,0.3,0.3,Excellent,62,-0.1,0.1,Excellent,5.3,-1,1,Good,16.5,-0.3,0.3,Excellent,75.7,0.1,0.1,Excellent,24.3,-0.8,0.8,Good,32.1,0.1,0.1,Excellent,,5.31,0.5,0.5,Excellent,19.12,0.4,0.4,Excellent,583,0.5,0.5,Excellent,15.4,0.0,0,Excellent,46.4,0.4,0.4,Excellent,87.4,-0.1,0.1,Excellent,29,-0.5,0.5,Excellent,33.2,-0.2,0.2,Excellent,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 901,NGPH
18,00018,R,2.14,-1.3,1.3,Satisfactory,1.31,-0.1,0.1,Excellent,96,4.1,4.1,Serious problem,5.4,0,0,Excellent,22.7,3.6,3.6,Serious problem,106.1,9.9,9.9,Serious problem,25.2,1.5,1.5,Satisfactory,23.8,-3,3,Unsatisfactory,,5.4,0.8,0.8,Good,8.21,-15.4,15.4,Serious problem,594,1.2,1.2,Satisfactory,15.7,1.5,1.5,Satisfactory,46.2,0.2,0.2,Excellent,85.6,-0.5,0.5,Excellent,29.1,-0.5,0.5,Excellent,34,0.8,0.8,Good,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1536,NGPH
30,00030,R,2.15,-1,1,Good,1.48,0.5,0.5,Excellent,55,-1,1,Good,5.4,0,0,Excellent,16.4,-0.4,0.4,Excellent,76.3,0.3,0.3,Excellent,25.1,1.3,1.3,Satisfactory,32.9,0.4,0.4,Excellent,,5.28,0.4,0.4,Excellent,19.22,0.5,0.5,Excellent,595,1.3,1.3,Satisfactory,15.4,0.0,0,Excellent,46.6,0.5,0.5,Excellent,88.3,0.1,0.1,Excellent,29.2,-0.4,0.4,Excellent,33,-0.5,0.5,Excellent,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3100,21 พฤษภาคม 2568,,,,HM 866,NGPH
32,00032,R,2.25,1.5,1.5,Satisfactory,1.53,0.7,0.7,Good,64,0.1,0.1,Excellent,5.5,1,1,Good,17.1,0.1,0.1,Excellent,76,0.2,0.2,Excellent,24.4,-0.5,0.5,Excellent,32.2,0.1,0.1,Excellent,,5.26,0.4,0.4,Excellent,19.08,0.3,0.3,Excellent,578,0.2,0.2,Excellent,15.5,0.5,0.5,Excellent,45.9,-0.1,0.1,Excellent,87.3,-0.1,0.1,Excellent,29.5,-0.3,0.3,Excellent,33.8,0.5,0.5,Excellent,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",XN-1000,,-,21 พฤษภาคม 2568,,,,HM 1422,GNPH
56,00056,R,2.21,0.5,0.5,Excellent,1.57,0.8,0.8,Good,64,0.1,0.1,Excellent,5.4,0,0,Excellent,17,0,0,Excellent,76.9,0.5,0.5,Excellent,24.4,-0.5,0.5,Excellent,31.8,0,0,Excellent,,5.31,0.5,0.5,Excellent,19.18,0.5,0.5,Excellent,575,0.0,0,Excellent,15.3,-0.5,0.5,Excellent,46.9,0.8,0.8,Good,88.3,0.1,0.1,Excellent,28.8,-0.6,0.6,Good,32.6,-1.0,1,Good,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,-,,,HM 1233,NGPH
